Factor1,Factor2,id,age_in_months,timepoint,dataset
-0.7792191665880908,-0.627635983602741,sub-A00060846,156.0,bas1,nki
-1.4133732391005736,-0.9429807906270132,sub-A00061298,204.0,bas1,nki
-0.11349932341640163,-0.9932135291369234,sub-A00061714,192.0,bas1,nki
-1.0497676411934431,-1.0939966609661511,sub-A00061715,204.0,bas1,nki
2.649077254480055,-0.9674823228425116,sub-A00063425,168.0,bas1,nki
0.5786206109555196,-1.4982788121468331,sub-A00064416,204.0,bas1,nki
-0.7662112694758871,-0.33155996339549854,sub-A00064418,132.0,bas1,nki
0.021513656923113158,-0.6903829702206649,sub-A00064505,180.0,bas1,nki
0.9805561781691134,-1.1163132346883582,sub-A00064507,120.0,bas1,nki
-0.059243414055961105,-0.8457496110005274,sub-A00065263,144.0,bas1,nki
-0.8424073089338705,-0.6460061441018403,sub-A00065792,84.0,bas1,nki
0.30666164813636904,-1.2636549896132265,sub-A00065802,168.0,bas1,nki
-0.03759889073338696,-1.1417246342710885,sub-A00065820,108.0,bas1,nki
0.4120140280986377,-0.7213699440935912,sub-A00065934,204.0,bas1,nki
0.28812913332371237,-0.8844239405959958,sub-A00065975,192.0,bas1,nki
0.3419698714404326,-0.9185298119796188,sub-A00065978,180.0,bas1,nki
-0.24652835691373587,-0.7615682737459725,sub-A00066314,156.0,bas1,nki
-0.6372707262033999,-0.7688877731550349,sub-A00066396,168.0,bas1,nki
-0.6357342040957451,-0.8096991300934072,sub-A00066572,168.0,bas1,nki
0.6970676423106403,-1.1916320749766465,sub-A00066580,108.0,bas1,nki
-1.3397363654959937,-1.1425702993924303,sub-A00066581,144.0,bas1,nki
0.12737716288765355,-1.3800329597201524,sub-A00066582,168.0,bas1,nki
0.349788922532251,-0.37476411566656437,sub-A00066584,204.0,bas1,nki
-0.8406251524513274,-0.6127229063485558,sub-A00066589,156.0,bas1,nki
-0.5068582068175579,-0.5172352553339551,sub-A00067146,156.0,bas1,nki
-0.9312276351398535,-1.123183914120875,sub-A00073303,132.0,bas1,nki
-0.9395930975274244,-0.393142554462562,sub-A00074427,144.0,bas1,nki
-0.9264717138168862,-0.9966999825650865,sub-A00074688,168.0,bas1,nki
0.9870165831745208,-0.989224084704382,sub-A00074952,108.0,bas1,nki
0.9796447269423676,-1.422356124357736,sub-A00074953,144.0,bas1,nki
-0.029240332152462734,-0.9345670193320581,sub-A00075150,144.0,bas1,nki
-0.2482072621505318,-1.066218592952559,sub-A00075151,192.0,bas1,nki
-0.32925898664044745,-0.9260232475015951,sub-A00075361,120.0,bas1,nki
-0.6104894404118788,-1.1961413113335468,sub-A00075732,192.0,bas1,nki
-1.1246444847867472,-0.07253282496125787,sub-A00075737,204.0,bas1,nki
-1.1282321563561273,-0.816506976337157,sub-A00075738,180.0,bas1,nki
0.4821286053464082,-0.8462533289964799,sub-A00075744,168.0,bas1,nki
-0.8077811649302575,-0.7996385348724914,sub-A00075745,156.0,bas1,nki
-0.9622736321727187,-0.6486395172893891,sub-A00075746,132.0,bas1,nki
0.6937070498682519,-0.9743683379670333,sub-A00076574,120.0,bas1,nki
0.5490733402507515,-1.5431701934402675,sub-A00076595,168.0,bas1,nki
-1.029169302200582,-1.0155325813582523,sub-A00076755,180.0,bas1,nki
-0.48109797124840864,-0.7421029612795468,sub-A00077199,156.0,bas1,nki
-0.9431081961666209,-0.7955974724524999,sub-A00077201,144.0,bas1,nki
1.998868283248022,-1.7573058881166184,sub-A00077203,180.0,bas1,nki
-1.0814405992022158,-0.5973551325169587,sub-A00077395,144.0,bas1,nki
-0.5619598671066863,-0.08102697168172295,sub-A00077574,144.0,bas1,nki
-0.9866538892657557,-1.0339402631230958,sub-A00077668,156.0,bas1,nki
-0.3211814782693986,-1.1911633856544948,sub-A00079337,144.0,bas1,nki
1.8578738896780551,-1.409665456189014,sub-A00079710,120.0,bas1,nki
-0.8307312581148695,-0.8973132164292807,sub-A00079818,132.0,bas1,nki
0.33164372891472926,-0.8124191518261773,sub-A00080327,108.0,bas1,nki
-0.10422548774561201,-0.8935098952082424,sub-A00080818,96.0,bas1,nki
-0.9981651306442961,-0.35772038654775107,sub-A00081126,120.0,bas1,nki
1.5649346650712577,-0.9690512111693991,sub-A00081394,96.0,bas1,nki
-0.09715575657542538,-1.1005322790621253,sub-A00081476,144.0,bas1,nki
-0.07967053439571098,-0.789234042139895,sub-A00081518,132.0,bas1,nki
-0.35902691228883077,-1.1561510809265474,sub-A00081727,204.0,bas1,nki
0.029206965724807507,-0.9826910470550132,sub-A00082217,108.0,bas1,nki
-0.7408083326019805,-0.7020317983117544,sub-A00082987,180.0,bas1,nki
-0.8010965338143717,-0.9781075881862427,sub-A00083732,84.0,bas1,nki
