,Local.Modularity,Clustering.Coef,Participation.Coef,Within.Module.Z.Degree,Participant.Manifold.Eccentricity,Global.Modularity,Transitivity,Char.Path.Length,Timepoint,subid
106,5.225,0.0015841667483229396,0.5142517513389929,-1.6153745008296028e-16,0.04632973573390637,0.6960440019219278,0.0015841667483229393,0.007643952935145746,bas1,sub-A00058229
107,6.065,0.0016465913500610216,0.5317017393943868,3.1752378504279476e-16,0.047003541758810406,0.6920615401671357,0.001646591350061022,0.007726858035459516,bas1,sub-A00058516
108,4.92,0.0015822428162677487,0.5223792935671334,-3.2363001167823314e-16,0.04712912884483358,0.7005388807501903,0.001582242816267749,0.007682452110627331,bas1,sub-A00058537
109,4.96,0.001564778380030494,0.5298130299031248,-4.3853809472693685e-17,0.04665548892161611,0.7041745876258013,0.0015647783800304934,0.007667649873707402,bas1,sub-A00058570
110,5.595,0.0015511949011104541,0.516956205085134,4.829470157119431e-16,0.04744108741575563,0.7063732579012709,0.0015511949011104552,0.007672864709247042,bas1,sub-A00058685
111,5.295,0.001550062440570789,0.5245292283939603,6.006306563222097e-16,0.047926203475765095,0.7051705263949208,0.0015500624405707893,0.007743439419140833,bas1,sub-A00058951
112,6.385,0.0015138947945186113,0.5164479205113757,-3.7692071686024065e-16,0.04745020253490947,0.7053278791636388,0.0015138947945186106,0.007659199723879443,bas1,sub-A00059109
113,5.1,0.0016439983730998163,0.5289654206918502,-3.3861802251067273e-16,0.046473796053062524,0.6950147321429678,0.0016439983730998178,0.007723345340598768,bas1,sub-A00059325
114,5.865,0.0015856733898385557,0.5182864137319079,2.0483614804334138e-16,0.04589728821126633,0.70197184981674,0.0015856733898385541,0.00766959142526749,bas1,sub-A00059326
115,4.945,0.001567561939223001,0.5170249914147559,-2.220446049250313e-18,0.047550559623112054,0.7119840127204806,0.0015675619392230022,0.007678434417000584,bas1,sub-A00059327
116,5.895,0.0016694044743230702,0.5405615771047292,2.020605904817785e-16,0.04830013924078663,0.6860375663739917,0.0016694044743230706,0.007788564092521443,bas1,sub-A00059427
117,5.315,0.0016107549355683605,0.5229361113024928,1.27675647831893e-16,0.04661788767180607,0.6952162943020215,0.0016107549355683598,0.0076716408202053155,bas1,sub-A00059865
118,4.49,0.0015480626408408582,0.5128642299952105,-2.0816681711721685e-16,0.047182535065111546,0.7028650114025721,0.0015480626408408585,0.007660348381154376,bas1,sub-A00059935
119,5.38,0.0015769941531309796,0.5189292600464271,-8.482103908136196e-16,0.04735285917476177,0.710293249726037,0.001576994153130979,0.007678621765734922,bas1,sub-A00060099
120,4.965,0.001579376770652559,0.5189152679172235,-5.861977570020827e-16,0.04777921993982455,0.7101433635804897,0.0015793767706525595,0.007721097817305702,bas1,sub-A00060100
121,4.84,0.0015358503151531003,0.5199734391106782,-1.2101430968414207e-16,0.04743189919179922,0.7163311054394863,0.0015358503151531007,0.007663722780259592,bas1,sub-A00060280
122,6.01,0.0016051368758541135,0.5279163354734798,-1.4210854715202004e-16,0.04694534329473048,0.6896773085536543,0.0016051368758541133,0.007636795085396481,bas1,sub-A00060384
123,4.48,0.0015625218439845243,0.5236988183990584,-2.34257058195908e-16,0.046790476094010346,0.6957385300910175,0.0015625218439845247,0.007667641350275757,bas1,sub-A00060429
124,5.51,0.0015555247582152332,0.5173306825548767,5.351274978693255e-16,0.0474529390170778,0.7081023192100784,0.0015555247582152343,0.007658614999067014,bas1,sub-A00060472
125,5.29,0.0016408478541708746,0.5313781885132908,6.661338147750939e-17,0.04754109625976932,0.679712287585559,0.001640766256159359,0.007692986160778625,bas1,sub-A00060493
126,4.68,0.0015079980022732465,0.523151508137893,-6.422640197456531e-16,0.04791216869262674,0.7117965937143392,0.001507998002273247,0.007671790977113348,bas1,sub-A00060503
127,6.44,0.0015843450083815225,0.5232939832932868,-8.049116928532385e-16,0.0475053429060526,0.7013643086840384,0.0015843450083815223,0.007710249404972127,bas1,sub-A00060603
128,4.845,0.00168762629123794,0.5400274843138015,-6.289413434501512e-16,0.04751701793293714,0.6895983491007337,0.00168762629123794,0.007774931073653373,bas1,sub-A00060664
129,5.27,0.0016176426216361565,0.5192656024918673,6.550315845288423e-17,0.04721437367446616,0.6995029198645054,0.0016176426216361547,0.007696471807842458,bas1,sub-A00060806
130,5.005,0.0015343786670302963,0.5247023364355765,-1.0824674490095276e-16,0.04766563968473677,0.7076857968189812,0.001534378667030297,0.00770322972283144,bas1,sub-A00060846
131,5.815,0.0016236469311655664,0.519053365368411,-4.4408920985006264e-17,0.04709914960216013,0.6936600776998663,0.0016236469311655644,0.007717692426184319,bas1,sub-A00061298
132,4.86,0.0015210303971200923,0.511676695829913,5.345723863570129e-16,0.04692163882500727,0.7106696135809766,0.0015210303971200923,0.00763023220863572,bas1,sub-A00061714
133,4.75,0.001567441505484505,0.5191761955540581,-2.298161660974074e-16,0.04680895870584335,0.6971515343316743,0.001567441505484505,0.007689308311028846,bas1,sub-A00061715
134,5.525,0.0015538042854979475,0.529333996683334,5.540012892879531e-16,0.04808235586513948,0.7105570683671056,0.0015538042854979467,0.007692769264307484,bas1,sub-A00063425
