,Local.Modularity,Clustering.Coef,Participation.Coef,Within.Module.Z.Degree,Participant.Manifold.Eccentricity,Global.Modularity,Transitivity,Char.Path.Length,Timepoint,subid
96,2.475,0.3464174221076666,0.5585445474393154,-1.26704202685346e-16,0.11243453303593548,0.3964673215823295,0.3464174221076665,0.09250065163801603,baseline,sub-180
97,4.89,0.49044915316700705,0.580759036883994,-1.4710455076283324e-16,0.09837455702198124,0.4146635793002116,0.4904491531670071,0.1392522038242343,baseline,sub-182
98,2.325,0.35103212522127036,0.552802558918282,-2.80331313717852e-17,0.1018615954391837,0.5242444946828093,0.3510321252212705,0.0763009297506459,baseline,sub-185
99,2.655,0.41492134470614417,0.5041187271188268,-2.473021787352536e-16,0.11856480856519117,0.453339657253244,0.4149213447061443,0.09790449376063004,baseline,sub-189
100,2.195,0.4249427384454025,0.5147606906120786,1.226796442210798e-16,0.11021003662363724,0.5042787594234679,0.42494273844540265,0.09803834571538242,baseline,sub-193
101,2.84,0.32921497714122855,0.5558074068954926,-1.1102230246251566e-17,0.10680344930846111,0.47214563161061196,0.3292149771412286,0.07764486731559173,baseline,sub-195
102,2.67,0.47334223177645535,0.4875827122033516,-7.049916206369744e-17,0.13019099097916287,0.5416365897845123,0.4733422317764555,0.10425865153912166,baseline,sub-199
103,2.795,0.4624876568605339,0.475489382038936,-5.551115123125783e-17,0.12844975207745699,0.5277117924750616,0.46248765686053384,0.09893794114858397,baseline,sub-200
104,4.19,0.47660591015964743,0.4967753979673843,-1.5265566588595904e-17,0.1244641098505753,0.553250957085442,0.47660591015964726,0.09976377571156131,baseline,sub-201
105,2.565,0.39977916311020417,0.5397395202407447,1.1324274851176597e-16,0.11071084414306447,0.4897090423174947,0.39977916311020395,0.09500390987931329,baseline,sub-202
106,2.645,0.5156307490877519,0.546969177554572,-1.765254609153999e-16,0.11964660296872115,0.4907992322598347,0.515630749087752,0.12881056329943075,baseline,sub-205
107,2.645,0.34426282693411514,0.5521821857614351,1.0380585280245214e-16,0.11463932534643004,0.5011340690491353,0.34426282693411514,0.08036986055228411,baseline,sub-209
108,2.655,0.44001018862476804,0.3998408811567716,-4.274358644806853e-17,0.12015802172528252,0.5551462942423583,0.440010188624768,0.08820600620921634,baseline,sub-210
