"dataset","modality","node","eccentricity.cv","Group"
"1","1",49,0.140821707229506,"CALM Structural"
"2","1",49,0.154791361278962,"NKI Structural"
"1","2",49,0.248684218238568,"CALM Functional"
"2","2",49,0.246685704925312,"NKI Functional"
"1","1",50,0.0899534747306071,"CALM Structural"
"2","1",50,0.116331623693595,"NKI Structural"
"1","2",50,0.263384178819576,"CALM Functional"
"2","2",50,0.285448861953879,"NKI Functional"
"1","1",51,0.0807246356870771,"CALM Structural"
"2","1",51,0.111759398086037,"NKI Structural"
"1","2",51,0.375333979791444,"CALM Functional"
"2","2",51,0.466797043549252,"NKI Functional"
"1","1",52,0.12354695172009,"CALM Structural"
"2","1",52,0.153143155358381,"NKI Structural"
"1","2",52,0.322395517045646,"CALM Functional"
"2","2",52,0.309757771650264,"NKI Functional"
"1","1",53,0.120854932645044,"CALM Structural"
"2","1",53,0.168038362055273,"NKI Structural"
"1","2",53,0.348676403610851,"CALM Functional"
"2","2",53,0.342957047350813,"NKI Functional"
"1","1",54,0.151662474832834,"CALM Structural"
"2","1",54,0.202231237001028,"NKI Structural"
"1","2",54,0.292229150625959,"CALM Functional"
"2","2",54,0.297643441415541,"NKI Functional"
"1","1",55,0.110149266800244,"CALM Structural"
"2","1",55,0.171413832379033,"NKI Structural"
"1","2",55,0.360699710925765,"CALM Functional"
"2","2",55,0.412448905729919,"NKI Functional"
"1","1",56,0.104336788901809,"CALM Structural"
"2","1",56,0.14836975205401,"NKI Structural"
"1","2",56,0.412964508784493,"CALM Functional"
"2","2",56,0.420157259359493,"NKI Functional"
"1","1",57,0.15928990545223,"CALM Structural"
"2","1",57,0.212422073056493,"NKI Structural"
"1","2",57,0.413965242117656,"CALM Functional"
"2","2",57,0.49631958107227,"NKI Functional"
"1","1",58,0.113872537503433,"CALM Structural"
"2","1",58,0.137173754020248,"NKI Structural"
"1","2",58,0.432206757804146,"CALM Functional"
"2","2",58,0.441488578642374,"NKI Functional"
"1","1",59,0.25125649139007,"CALM Structural"
"2","1",59,0.296091687908822,"NKI Structural"
"1","2",59,0.419818344078836,"CALM Functional"
"2","2",59,0.458390855275092,"NKI Functional"
"1","1",60,0.234023491425517,"CALM Structural"
"2","1",60,0.267682807382853,"NKI Structural"
"1","2",60,0.406590792342397,"CALM Functional"
"2","2",60,0.476982574309269,"NKI Functional"
"1","1",61,0.11392356161275,"CALM Structural"
"2","1",61,0.119696753339653,"NKI Structural"
"1","2",61,0.323311567168691,"CALM Functional"
"2","2",61,0.366004723078512,"NKI Functional"
"1","1",62,0.133141202039478,"CALM Structural"
"2","1",62,0.132936350680306,"NKI Structural"
"1","2",62,0.264012132719477,"CALM Functional"
"2","2",62,0.349649038365248,"NKI Functional"
"1","1",63,0.116701502634778,"CALM Structural"
"2","1",63,0.123459395088529,"NKI Structural"
"1","2",63,0.291689804317805,"CALM Functional"
"2","2",63,0.342866393656411,"NKI Functional"
"1","1",64,0.101170578285983,"CALM Structural"
"2","1",64,0.116756466929266,"NKI Structural"
"1","2",64,0.31649113221666,"CALM Functional"
"2","2",64,0.359312632616217,"NKI Functional"
"1","1",65,0.105902001863046,"CALM Structural"
"2","1",65,0.131063841076366,"NKI Structural"
"1","2",65,0.363503168668175,"CALM Functional"
"2","2",65,0.392189095079751,"NKI Functional"
"1","1",66,0.075490923529939,"CALM Structural"
"2","1",66,0.104122577594,"NKI Structural"
"1","2",66,0.307418856154999,"CALM Functional"
"2","2",66,0.340247964626641,"NKI Functional"
"1","1",67,0.0857823837595207,"CALM Structural"
"2","1",67,0.134588546473328,"NKI Structural"
"1","2",67,0.319033205649265,"CALM Functional"
"2","2",67,0.432074551997069,"NKI Functional"
"1","1",68,0.0752631886061966,"CALM Structural"
"2","1",68,0.109999163732045,"NKI Structural"
"1","2",68,0.297428654519711,"CALM Functional"
"2","2",68,0.367550253942071,"NKI Functional"
"1","1",69,0.0751213074462077,"CALM Structural"
"2","1",69,0.118476481919626,"NKI Structural"
"1","2",69,0.300389786658862,"CALM Functional"
"2","2",69,0.347864069857682,"NKI Functional"
"1","1",70,0.0936719824300818,"CALM Structural"
"2","1",70,0.118314255853394,"NKI Structural"
"1","2",70,0.311159094707166,"CALM Functional"
"2","2",70,0.326170051156678,"NKI Functional"
"1","1",71,0.104849548287437,"CALM Structural"
"2","1",71,0.109413295034558,"NKI Structural"
"1","2",71,0.360151402413477,"CALM Functional"
"2","2",71,0.396533746883585,"NKI Functional"
"1","1",72,0.163290369699813,"CALM Structural"
"2","1",72,0.161516331825332,"NKI Structural"
"1","2",72,0.396326973015461,"CALM Functional"
"2","2",72,0.446055274585076,"NKI Functional"
"1","1",73,0.192890337746035,"CALM Structural"
"2","1",73,0.159099032350148,"NKI Structural"
"1","2",73,0.369652886165243,"CALM Functional"
"2","2",73,0.389505147196837,"NKI Functional"
"1","1",74,0.145919812916862,"CALM Structural"
"2","1",74,0.189936260965943,"NKI Structural"
"1","2",74,0.323597814490438,"CALM Functional"
"2","2",74,0.343232537370557,"NKI Functional"
"1","1",75,0.118785871929633,"CALM Structural"
"2","1",75,0.152979285548446,"NKI Structural"
"1","2",75,0.292892573992294,"CALM Functional"
"2","2",75,0.315223997321101,"NKI Functional"
"1","1",76,0.126581540502079,"CALM Structural"
"2","1",76,0.175460914967277,"NKI Structural"
"1","2",76,0.292972918473264,"CALM Functional"
"2","2",76,0.321019944931851,"NKI Functional"
"1","1",77,0.0889887076667761,"CALM Structural"
"2","1",77,0.12990859329771,"NKI Structural"
"1","2",77,0.276683132058729,"CALM Functional"
"2","2",77,0.311170350811779,"NKI Functional"
"1","1",78,0.077683495973097,"CALM Structural"
"2","1",78,0.121454222347853,"NKI Structural"
"1","2",78,0.400091852793487,"CALM Functional"
"2","2",78,0.377019896264497,"NKI Functional"
"1","1",79,0.0977369930149548,"CALM Structural"
"2","1",79,0.124909208773744,"NKI Structural"
"1","2",79,0.358744511667419,"CALM Functional"
"2","2",79,0.391860423474729,"NKI Functional"
"1","1",80,0.102411693564093,"CALM Structural"
"2","1",80,0.10826543993889,"NKI Structural"
"1","2",80,0.33919618238613,"CALM Functional"
"2","2",80,0.38415279670274,"NKI Functional"
"1","1",81,0.114404340175404,"CALM Structural"
"2","1",81,0.139528418194154,"NKI Structural"
"1","2",81,0.285421379278363,"CALM Functional"
"2","2",81,0.325900942173479,"NKI Functional"
"1","1",82,0.106032538111975,"CALM Structural"
"2","1",82,0.116106087302831,"NKI Structural"
"1","2",82,0.213190605766964,"CALM Functional"
"2","2",82,0.286754811085248,"NKI Functional"
"1","1",83,0.0831802943345134,"CALM Structural"
"2","1",83,0.114505739684768,"NKI Structural"
"1","2",83,0.365801804196389,"CALM Functional"
"2","2",83,0.388766862592828,"NKI Functional"
"1","1",84,0.171668735141374,"CALM Structural"
"2","1",84,0.193485590701734,"NKI Structural"
"1","2",84,0.316770534577015,"CALM Functional"
